Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Fay, Erik M; ",Measuring Indirect External Threat: A Time Series Sentiment Analysis of NATO Resolutions,2020 IEEE 7th International Conference on Data Science and Advanced Analytics (DSAA),,,767-768,2020,IEEE
"Abercrombie, Gavin; Batista-Navarro, Riza Theresa; ",Semantic change in the language of UK parliamentary debates,Proceedings of the 1st International Workshop on Computational Approaches to Historical Language Change,,,210-215,2019,
"Bhavan, Anjali; Sharma, Mohit; Sawhney, Ramit; Shah, Rajiv Ratn; ",Analysis of Parliamentary Debate Transcripts Using Community-Based Graphical Approaches (Student Abstract),Proceedings of the AAAI Conference on Artificial Intelligence,34,10,13753-13754,2020,
"Salah, Zaher; Coenen, Frans; Grossi, Davide; ",Generating domain-specific sentiment lexicons for opinion mining,"Advanced Data Mining and Applications: 9th International Conference, ADMA 2013, Hangzhou, China, December 14-16, 2013, Proceedings, Part I 9",,,13-24,2013,Springer
"Eklund, Johan; Nelhans, Gustaf; Blomgren, Roger; ",Discursive shifts in the Swedish parliament,"Digital History in Sweden Conference, 2021, Umeå: 9–10 December",,,,2021,
"Doan, Tu My; Gulla, Jon Atle; ",A survey on political viewpoints identification,Online Social Networks and Media,30,,100208,2022,Elsevier
"Fraccaroli, Nicolò; Giovannini, Alessandro; Jamet, Jean-François; Persson, Eric; ",Ideology and monetary policy. The role of political parties’ stances in the European Central Bank’s parliamentary hearings,European Journal of Political Economy,74,,102207,2022,Elsevier
"Cochrane, Christopher; Rheault, Ludovic; Godbout, Jean-François; Whyte, Tanya; Wong, Michael W-C; Borwein, Sophie; ",The automatic analysis of emotion in political speech based on transcripts,Political Communication,39,1,98-121,2022,Taylor & Francis
"Bhatia, Sumit; ",Topic-specific sentiment analysis can help identify political ideology,arXiv preprint arXiv:1810.12897,,,,2018,
"Schwabl, Patrick; ",Computational scaling of political positions from textual data using word embeddings,,,,,,
"Zhang, Bowen; Ding, Daijun; Jing, Liwen; ",How would Stance Detection Techniques Evolve after the Launch of ChatGPT?,arXiv preprint arXiv:2212.14548,,,,2022,
"Rohit, Sakala Venkata Krishna; Shrivastava, Manish; ",Using argumentative semantic feature for summarization,2019 IEEE 13th International Conference on Semantic Computing (ICSC),,,456-461,2019,IEEE
"Duthie, Rory William; ",Mining ethos in parliamentary debate,,,,,2020,University of Dundee
"Abercrombie, Gavin; Batista-Navarro, Riza Theresa; ",Identifying opinion-topics and polarity of parliamentary debate motions,"Proceedings of the 9th workshop on computational approaches to subjectivity, sentiment and social media analysis",,,280-285,2018,
"Gartner, Richard; ",Using structured text corpora in Parliamentary Metadata Language for the analysis of legislative proceedings.,DHQ: Digital Humanities Quarterly,12,2,,2018,
"Lehmann, Rasmus; ",Stance Detection in Danish Politics,,,,,2019,"Ph. D. Thesis, IT University of Copenhagen, Copenhagen, Denmark"
"Mikušek, Ota; ",Automatic Identification of Speakers and Parties in Steno Protocols of the Czech Parliament,RASLAN 2022 Recent Advances in Slavonic Natural Language Processing,,,15,2022,
"Kristensen, Jonathan; ",Identifying and analysing political quotes from the Danish Parliament related to climate change using NLP,,,,,2022,
"Faty, Lamine; Drame, Khadim; Sarr, Edouard Ngor; Ndiaye, Marie; Diop, Ibrahima; Dia, Yoro; Sall, Ousmane; ",COMFO: Multilingual Corpus for Opinion Mining,"Artificial General Intelligence: 15th International Conference, AGI 2022, Seattle, WA, USA, August 19–22, 2022, Proceedings",,,14-19,2023,Springer
"Abercrombie, Gavin; Nanni, Federico; Batista-Navarro, Riza; Ponzetto, Simone Paolo; ",Policy preference detection in parliamentary debate motions,,,,,2019,Association for Computational Linguistics
"Contreras, Kenji; Verbel, Gabriel; Sanchez, Jose; Sanchez-Galan, Javier E; ",Using Topic Modelling for Analyzing Panamanian Parliamentary Proceedings with Neural and Statistical Methods,2022 IEEE 40th Central America and Panama Convention (CONCAPAN),,,1-6,2022,IEEE
